Year,Month,Variable,101
1968,11,mintemp,3.5
1968,12,mintemp,-0.9
1969,1,mintemp,0.4
1969,2,mintemp,0.9
1969,3,mintemp,1.2
1969,4,mintemp,10.1
1969,5,mintemp,14
1969,6,mintemp,17.9
1969,7,mintemp,20.7
1969,8,mintemp,18.3
1969,9,mintemp,15.3
1969,10,mintemp,11.2
1969,11,mintemp,1.8
1969,12,mintemp,-0.6
1970,1,mintemp,-2.8
1970,2,mintemp,-0.9
1970,3,mintemp,4.4
1970,4,mintemp,11.3
1970,5,mintemp,13.4
1970,6,mintemp,17.4
1970,7,mintemp,19.1
1970,8,mintemp,20.2
1970,9,mintemp,18.2
1970,10,mintemp,11.5
1970,11,mintemp,2.4
1970,12,mintemp,2.6
1971,1,mintemp,1.4
1971,2,mintemp,0.2
1971,3,mintemp,2
1971,4,mintemp,6.8
1971,5,mintemp,10.8
1971,6,mintemp,17.9
1971,7,mintemp,19.1
1971,8,mintemp,19.1
1971,9,mintemp,17.7
1971,10,mintemp,12.5
1971,11,mintemp,2.7
1971,12,mintemp,6.4
1972,1,mintemp,1.9
1972,2,mintemp,1.3
1972,3,mintemp,4.5
1972,4,mintemp,8.9
1972,5,mintemp,12.8
1972,6,mintemp,15.6
1972,7,mintemp,17.8
1972,8,mintemp,18.5
1972,9,mintemp,17.2
1972,10,mintemp,9.6
1972,11,mintemp,4.4
1972,12,mintemp,3.8
1973,1,mintemp,-0.3
1973,2,mintemp,-1.2
1973,3,mintemp,8.7
1973,4,mintemp,8.5
1973,5,mintemp,11.3
1973,6,mintemp,17.9
1973,7,mintemp,19.3
1973,8,mintemp,18.3
1973,9,mintemp,17.5
1973,10,mintemp,10.7
1973,11,mintemp,6.5
1973,12,mintemp,0.9
1974,1,mintemp,7.6
1974,2,mintemp,0.5
1974,3,mintemp,8.2
1974,4,mintemp,8.5
1974,5,mintemp,14.6
1974,6,mintemp,15.3
1974,7,mintemp,18.6
1974,8,mintemp,18.7
1974,9,mintemp,14.7
1974,10,mintemp,6.1
1974,11,mintemp,3.3
1974,12,mintemp,1.4
1975,1,mintemp,2.8
1975,2,mintemp,2.7
1975,3,mintemp,4.3
1975,4,mintemp,7.9
1975,5,mintemp,15.4
1975,6,mintemp,17.5
1975,7,mintemp,18.9
1975,8,mintemp,19.1
1975,9,mintemp,14.5
1975,10,mintemp,10.8
1975,11,mintemp,5.2
1975,12,mintemp,0.2
1976,1,mintemp,-2.7
1976,2,mintemp,2.8
1976,3,mintemp,6.9
1976,4,mintemp,7.9
1976,5,mintemp,11.1
1976,6,mintemp,16.6
1976,7,mintemp,18.9
1976,8,mintemp,17.8
1976,9,mintemp,15.7
1976,10,mintemp,6.6
1976,11,mintemp,-0.6
1976,12,mintemp,-2
1977,1,mintemp,-5.8
1977,2,mintemp,-1.9
1977,3,mintemp,6.7
1977,4,mintemp,10.2
1977,5,mintemp,13.7
1977,6,mintemp,18
1977,7,mintemp,20.5
1977,8,mintemp,20.7
1977,9,mintemp,18.7
1977,10,mintemp,8.2
1977,11,mintemp,8.2
1977,12,mintemp,0.6
1978,1,mintemp,-3.3
1978,2,mintemp,-3.4
1978,3,mintemp,2.9
1978,4,mintemp,9
1978,5,mintemp,14
1978,6,mintemp,18.1
1978,7,mintemp,20.4
1978,8,mintemp,20
1978,9,mintemp,18
